arm,initialization,method,subtask_mode,task,seed,source_run_log_path,source_run_log_sha256,number_of_budgeted_records,raw_terminal_label,selected_best_canonical_score,first_best_attempt,terminal_budgeted_candidate_score,best_minus_terminal_absolute_drop,retained_best
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,0,data/logs/run/p-create-bandit-fixed-door_push-seed-00.json,cee7bd46e2d27ddaca786f15e13941f97640c7fb3308188a95be53812b5edf71,15,15,1.0,0,0.8992692777185076,0.10073072228149238,False
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,1,data/logs/run/p-create-bandit-fixed-door_push-seed-01.json,6d59f4b57055c4f45df1023b0eff83ba4e07f339e016112253231b3566ad76f1,15,15,1.0,0,0.9482099308426183,0.05179006915738171,False
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,2,data/logs/run/p-create-bandit-fixed-door_push-seed-02.json,18bc459bd3ac75b0ab1e36752460db2147825cc964e11f7e6be9caafe75591a5,15,15,1.0,0,0.95774211396501,0.04225788603499003,False
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,3,data/logs/run/p-create-bandit-fixed-door_push-seed-03.json,2def7f1b66a394c9e5c03988c3e405f9b520cb0385e22306ededa80141bd7069,15,15,1.0,0,1.0,0.0,True
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,4,data/logs/run/p-create-bandit-fixed-door_push-seed-04.json,fb667c5f380344eded9032a5ea3f7249c1cf65d948669281a7fa1c230afc64e4,15,15,1.0,0,1.0,0.0,True
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,5,data/logs/run/p-create-bandit-fixed-door_push-seed-05.json,d52cc2fb307b9cdbe372b47412a831d4508510124ea2c0126f1745d41bd8e80c,15,15,1.0,2,0.9741086883152442,0.02589131168475578,False
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,6,data/logs/run/p-create-bandit-fixed-door_push-seed-06.json,1b412822d90829140c43367240a6f93e49714936c8f17569b2b28649c9df234f,15,15,1.0,0,1.0,0.0,True
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,7,data/logs/run/p-create-bandit-fixed-door_push-seed-07.json,250c50773708b9ff86f5fce5282ddfee94dbdf3f41f36dc8b4b68c363a540b7c,15,15,1.0,3,0.9110441727709557,0.08895582722904427,False
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,8,data/logs/run/p-create-bandit-fixed-door_push-seed-08.json,5a8937cda102ac2ac786335f75cb9ffa18cb51d58b8d2c001026102eca6b5863,15,15,1.0,0,1.0,0.0,True
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,9,data/logs/run/p-create-bandit-fixed-door_push-seed-09.json,7535288f0060bb48a083be3b418c1d1e768763f289f95c38f2567e4e19aa9b52,15,15,1.0,0,0.895764600165038,0.104235399834962,False
create-bandit-fixed,Create,BanditRefine,FixedST,grasp_place,0,data/logs/run/p-create-bandit-fixed-grasp_place-seed-00.json,6c11f4ca56c747094a90cc14f5ce673ddcbae84a4af0528a46bbeedaa5d8178f,15,15,0.42371866455284146,1,0.21768377027247846,0.206034894280363,False
create-bandit-fixed,Create,BanditRefine,FixedST,grasp_place,1,data/logs/run/p-create-bandit-fixed-grasp_place-seed-01.json,bc7a641395bfa7c5b0a7328e5dba0acbc23180e7752d0478ba8035b24da37e8d,15,15,0.31923065893830754,15,0.31923065893830754,0.0,True
